232,-6078.81,-6701.51
231,-5849.06,-6761.69
230,-5621.04,-6818.97
229,-5394.7,-6873.45
228,-5169.96,-6925.21
227,-4946.73,-6974.32
226,-4724.97,-7020.88
225,-4504.58,-7064.94
224,-4285.5,-7106.58
223,-4067.67,-7145.86
222,-3851.0,-7182.83
221,-3635.43,-7217.55
220,-3420.89,-7250.08
219,-3207.31,-7280.45
218,-2994.63,-7308.72
217,-2782.79,-7334.92
216,-2571.7,-7359.08
215,-2361.32,-7381.25
214,-2151.57,-7401.45
213,-1942.39,-7419.71
212,-1733.73,-7436.05
211,-1525.51,-7450.51
210,-1317.68,-7463.08
209,-1110.18,-7473.8
208,-902.95,-7482.67
207,-695.91,-7489.7
206,-489.03,-7494.91
205,-282.24,-7498.3
204,-75.47,-7499.88
203,131.3,-7499.63
202,338.07,-7497.56
201,544.88,-7493.68
200,751.78,-7487.98
199,958.84,-7480.45
198,1166.11,-7471.09
197,1373.67,-7459.87
196,1581.55,-7446.8
195,1789.84,-7431.84
194,1998.58,-7414.99
193,2207.84,-7396.22
192,2417.7,-7375.5
191,2628.2,-7352.8
190,2839.41,-7328.11
189,3051.4,-7301.37
188,3264.23,-7272.56
187,3477.96,-7241.63
186,3692.66,-7208.54
185,3908.42,-7173.24
184,4125.28,-7135.68
183,4343.32,-7095.8
182,4562.62,-7053.55
181,4783.25,-7008.86
180,5005.28,-6961.66
179,5228.78,-6911.89
178,5453.81,-6859.45
177,5680.45,-6804.28
176,5908.77,-6746.29
175,6138.84,-6685.38
174,6700.35,-6083.2
173,6760.59,-5853.39
172,6817.93,-5625.32
171,6872.47,-5398.92
170,6924.28,-5174.12
169,6973.45,-4950.85
168,7020.06,-4729.04
167,7064.17,-4508.61
166,7105.85,-4289.49
165,7145.17,-4071.62
164,7182.19,-3854.92
163,7216.96,-3639.32
162,7249.52,-3424.75
161,7279.94,-3211.15
160,7308.24,-2998.45
159,7334.47,-2786.58
158,7358.68,-2575.48
157,7380.88,-2365.08
156,7401.12,-2155.32
155,7419.41,-1946.13
154,7435.79,-1737.45
153,7450.27,-1529.23
152,7462.88,-1321.4
151,7473.63,-1113.9
150,7482.53,-906.67
149,7489.6,-699.64
148,7494.84,-492.76
147,7498.26,-285.98
146,7499.87,-79.22
145,7499.65,127.54
144,7497.62,334.29
143,7493.77,541.08
142,7488.11,747.96
141,7480.61,955.0
140,7471.28,1162.25
139,7460.1,1369.78
138,7447.06,1577.64
137,7432.14,1785.9
136,7415.33,1994.61
135,7396.59,2203.84
134,7375.91,2413.66
133,7353.26,2624.12
132,7328.61,2835.29
131,7301.91,3047.22
130,7273.15,3260.0
129,7242.26,3473.68
